"","YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
"25",2014,"OK","Oklahoma","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",NA,"Overall","Overall"
"26",2013,"OR","Oregon","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",736,"Gender","Male"
"27",2010,"SD","South Dakota","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",106,"Gender","Male"
"28",2016,"VA","Virginia","Diabetes","Amputation of a lower extremity attributable to diabetes","Number",NA,"Gender","Male"
"29",2015,"GU","Guam","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",NA,"Gender","Female"
"30",2016,"GU","Guam","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",NA,"Gender","Male"
"31",2018,"ID","Idaho","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",NA,"Gender","Male"
"32",2016,"MS","Mississippi","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",40353,"Gender","Male"
"33",2018,"NJ","New Jersey","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",30025,"Race/Ethnicity","Hispanic"
"34",2010,"NM","New Mexico","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",35085,"Overall","Overall"
"35",2018,"OH","Ohio","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",NA,"Overall","Overall"
"36",2013,"SC","South Carolina","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",120822,"Overall","Overall"
"37",2015,"UT","Utah","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",NA,"Gender","Female"
"38",2018,"WA","Washington","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",66866,"Gender","Male"
"39",2018,"WI","Wisconsin","Diabetes","Hospitalization with diabetes as a listed diagnosis","Number",126046,"Overall","Overall"
"40",2020,"US","United States","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number",8342,"Overall","Overall"
"42",2013,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",348,"Race/Ethnicity","Asian or Pacific Islander"
"45",2014,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"48",2013,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3980,"Race/Ethnicity","White, non-Hispanic"
"51",2014,"NY","New York","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",35,"Race/Ethnicity","American Indian or Alaska Native"
"52",2014,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1223,"Race/Ethnicity","Black, non-Hispanic"
"56",2018,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"57",2010,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",51,"Race/Ethnicity","Asian or Pacific Islander"
"58",2013,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",55,"Race/Ethnicity","Asian or Pacific Islander"
"60",2012,"NC","North Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",72,"Race/Ethnicity","Hispanic"
"66",2015,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"72",2013,"CO","Colorado","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1236,"Gender","Male"
"79",2018,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1178,"Race/Ethnicity","Black, non-Hispanic"
"80",2012,"CT","Connecticut","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1678,"Race/Ethnicity","White, non-Hispanic"
"83",2019,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",866,"Gender","Female"
"84",2016,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",955,"Gender","Male"
"85",2019,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",420,"Gender","Female"
"86",2016,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",46,"Race/Ethnicity","Hispanic"
"90",2013,"MO","Missouri","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",586,"Race/Ethnicity","Black, non-Hispanic"
"94",2018,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",205,"Race/Ethnicity","Asian or Pacific Islander"
"98",2011,"CA","California","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",10327,"Gender","Female"
"99",2018,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",752,"Overall","Overall"
"107",2020,"CO","Colorado","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1300,"Race/Ethnicity","Hispanic"
"111",2013,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"114",2012,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"115",2010,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",10969,"Race/Ethnicity","White, non-Hispanic"
"118",2020,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",756,"Race/Ethnicity","White, non-Hispanic"
"123",2011,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3584,"Race/Ethnicity","White, non-Hispanic"
"124",2015,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",539,"Gender","Female"
"127",2018,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",602,"Race/Ethnicity","American Indian or Alaska Native"
"128",2020,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"136",2013,"CT","Connecticut","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"143",2016,"HI","Hawaii","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",590,"Gender","Male"
"152",2016,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3409,"Gender","Male"
"154",2013,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",84,"Race/Ethnicity","American Indian or Alaska Native"
"155",2010,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"156",2019,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",390,"Gender","Male"
"158",2016,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2453,"Gender","Male"
"162",2019,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",639,"Race/Ethnicity","Hispanic"
"164",2018,"HI","Hawaii","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"167",2012,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"169",2019,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",126,"Race/Ethnicity","American Indian or Alaska Native"
"172",2013,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",11663,"Overall","Overall"
"176",2016,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",8799,"Gender","Male"
"181",2013,"AZ","Arizona","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",60,"Race/Ethnicity","Asian or Pacific Islander"
"189",2012,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1505,"Race/Ethnicity","Black, non-Hispanic"
"198",2013,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",295,"Gender","Female"
"202",2013,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",224,"Gender","Male"
"207",2018,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",626,"Race/Ethnicity","White, non-Hispanic"
"217",2015,"US","United States","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",252806,"Overall","Overall"
"220",2016,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",784,"Race/Ethnicity","White, non-Hispanic"
"221",2011,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"224",2014,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",70,"Race/Ethnicity","American Indian or Alaska Native"
"230",2013,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",63,"Race/Ethnicity","Asian or Pacific Islander"
"232",2016,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2550,"Race/Ethnicity","Black, non-Hispanic"
"233",2012,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",477,"Gender","Female"
"234",2012,"CO","Colorado","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1969,"Race/Ethnicity","White, non-Hispanic"
"238",2019,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",11433,"Overall","Overall"
"240",2010,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"245",2015,"CA","California","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",14005,"Gender","Female"
"246",2017,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5911,"Overall","Overall"
"247",2014,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3397,"Overall","Overall"
"251",2011,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1622,"Race/Ethnicity","White, non-Hispanic"
"254",2013,"AR","Arkansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"260",2013,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",62,"Race/Ethnicity","Asian or Pacific Islander"
"265",2012,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",25,"Race/Ethnicity","Asian or Pacific Islander"
"266",2018,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",518,"Overall","Overall"
"270",2011,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"276",2020,"CA","California","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6505,"Race/Ethnicity","Asian or Pacific Islander"
"281",2020,"HI","Hawaii","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",88,"Race/Ethnicity","Hispanic"
"283",2016,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",11597,"Gender","Male"
"284",2017,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",224,"Race/Ethnicity","Hispanic"
"287",2019,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",447,"Gender","Female"
"290",2014,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",11994,"Overall","Overall"
"291",2018,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5844,"Overall","Overall"
"292",2020,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6975,"Race/Ethnicity","White, non-Hispanic"
"295",2018,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"297",2016,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1666,"Gender","Male"
"299",2014,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",282,"Race/Ethnicity","Hispanic"
"300",2018,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3359,"Overall","Overall"
"301",2016,"CA","California","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",15946,"Race/Ethnicity","White, non-Hispanic"
"302",2016,"NC","North Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4559,"Gender","Male"
"303",2011,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",497,"Gender","Male"
"314",2010,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",723,"Overall","Overall"
"319",2019,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6665,"Overall","Overall"
"320",2012,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",144,"Race/Ethnicity","Black, non-Hispanic"
"321",2012,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"323",2017,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",297,"Gender","Female"
"334",2014,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1145,"Overall","Overall"
"338",2010,"MN","Minnesota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3767,"Race/Ethnicity","White, non-Hispanic"
"340",2020,"AZ","Arizona","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",792,"Race/Ethnicity","American Indian or Alaska Native"
"343",2010,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2743,"Gender","Female"
"351",2010,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"352",2019,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"353",2016,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3841,"Gender","Female"
"356",2014,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",4472,"Overall","Overall"
"360",2010,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",720,"Race/Ethnicity","White, non-Hispanic"
"370",2016,"SD","South Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"372",2010,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",96,"Race/Ethnicity","Asian or Pacific Islander"
"373",2013,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2948,"Race/Ethnicity","White, non-Hispanic"
"375",2016,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",620,"Gender","Female"
"378",2010,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"381",2015,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1471,"Race/Ethnicity","Black, non-Hispanic"
"384",2014,"AL","Alabama","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3319,"Overall","Overall"
"387",2020,"UT","Utah","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",115,"Race/Ethnicity","Asian or Pacific Islander"
"390",2012,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",557,"Race/Ethnicity","Black, non-Hispanic"
"391",2012,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",794,"Gender","Female"
"392",2011,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1077,"Race/Ethnicity","Black, non-Hispanic"
"398",2014,"MO","Missouri","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2367,"Gender","Male"
"404",2017,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",57,"Race/Ethnicity","Hispanic"
"410",2018,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",273,"Gender","Female"
"411",2016,"TX","Texas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3188,"Race/Ethnicity","Black, non-Hispanic"
"418",2018,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",104,"Race/Ethnicity","Asian or Pacific Islander"
"420",2012,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",32,"Race/Ethnicity","Hispanic"
"423",2012,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",944,"Overall","Overall"
"429",2013,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",50,"Race/Ethnicity","American Indian or Alaska Native"
"432",2013,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",259,"Race/Ethnicity","Black, non-Hispanic"
"435",2013,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"436",2014,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",656,"Race/Ethnicity","Hispanic"
"439",2015,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",93,"Race/Ethnicity","Asian or Pacific Islander"
"442",2013,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",443,"Gender","Female"
"446",2018,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",37,"Race/Ethnicity","Asian or Pacific Islander"
"465",2019,"DE","Delaware","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Asian or Pacific Islander"
"466",2012,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",128,"Race/Ethnicity","Hispanic"
"468",2010,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Hispanic"
"472",2011,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",92,"Race/Ethnicity","Hispanic"
"478",2019,"MA","Massachusetts","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",106,"Race/Ethnicity","Asian or Pacific Islander"
"480",2013,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2193,"Gender","Male"
"483",2015,"NV","Nevada","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",510,"Gender","Female"
"485",2019,"KY","Kentucky","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",6344,"Race/Ethnicity","White, non-Hispanic"
"488",2014,"ME","Maine","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"490",2012,"ND","North Dakota","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",47,"Race/Ethnicity","American Indian or Alaska Native"
"493",2020,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",41,"Race/Ethnicity","American Indian or Alaska Native"
"504",2014,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5848,"Overall","Overall"
"505",2011,"MO","Missouri","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2097,"Gender","Female"
"507",2020,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",59,"Race/Ethnicity","American Indian or Alaska Native"
"513",2015,"NJ","New Jersey","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2699,"Gender","Female"
"516",2011,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",34,"Race/Ethnicity","Black, non-Hispanic"
"522",2016,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"525",2018,"MI","Michigan","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",66,"Race/Ethnicity","Asian or Pacific Islander"
"527",2018,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1081,"Race/Ethnicity","White, non-Hispanic"
"528",2013,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",484,"Gender","Male"
"529",2019,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1208,"Race/Ethnicity","Black, non-Hispanic"
"537",2016,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"541",2015,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2951,"Gender","Female"
"546",2010,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1745,"Race/Ethnicity","Black, non-Hispanic"
"548",2018,"GA","Georgia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",7193,"Overall","Overall"
"552",2018,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3729,"Overall","Overall"
"553",2014,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",311,"Overall","Overall"
"554",2016,"HI","Hawaii","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"557",2019,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"558",2015,"OH","Ohio","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",12258,"Overall","Overall"
"561",2013,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",377,"Race/Ethnicity","Black, non-Hispanic"
"563",2016,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",868,"Race/Ethnicity","White, non-Hispanic"
"566",2014,"TN","Tennessee","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3103,"Gender","Male"
"572",2013,"FL","Florida","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",25,"Race/Ethnicity","American Indian or Alaska Native"
"578",2014,"KS","Kansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1841,"Overall","Overall"
"579",2015,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",3938,"Gender","Female"
"580",2012,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",958,"Overall","Overall"
"581",2014,"NE","Nebraska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1597,"Race/Ethnicity","White, non-Hispanic"
"582",2020,"NC","North Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",150,"Race/Ethnicity","American Indian or Alaska Native"
"584",2019,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",44,"Race/Ethnicity","Hispanic"
"588",2019,"PA","Pennsylvania","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","American Indian or Alaska Native"
"590",2018,"NH","New Hampshire","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",NA,"Race/Ethnicity","Black, non-Hispanic"
"593",2014,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",439,"Gender","Male"
"601",2016,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",181,"Gender","Male"
"602",2019,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",1666,"Overall","Overall"
"608",2015,"AR","Arkansas","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",2589,"Overall","Overall"
"609",2019,"MT","Montana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",843,"Race/Ethnicity","White, non-Hispanic"
"610",2012,"RI","Rhode Island","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",804,"Race/Ethnicity","White, non-Hispanic"
"611",2014,"NM","New Mexico","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",497,"Gender","Male"
"614",2016,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",134,"Gender","Female"
"617",2011,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",5472,"Overall","Overall"
"618",2020,"OR","Oregon","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",162,"Race/Ethnicity","Asian or Pacific Islander"
"620",2016,"DC","District of Columbia","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",33,"Race/Ethnicity","White, non-Hispanic"
"623",2017,"SC","South Carolina","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number",25,"Race/Ethnicity","Asian or Pacific Islander"
