"YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","79.6","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2916","Gender","Male"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2488","Gender","Female"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","65.0","Race/Ethnicity","Asian or Pacific Islander"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","52.2","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","93.4","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","269","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","113.7","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","89.5","Gender","Male"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","87.5","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","4797","Race/Ethnicity","White, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","72.2","Race/Ethnicity","Black, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","4516","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","70.8","Overall","Overall"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","3462","Gender","Male"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","5127","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","122.4","Race/Ethnicity","Black, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","67.6","Race/Ethnicity","Asian or Pacific Islander"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","73.5","Gender","Female"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","71.6","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2538","Gender","Female"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","78.7","Overall","Overall"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","66.6","Gender","Female"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","92.0","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","116","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","71.7","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","142.7","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2383","Gender","Female"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","40.0","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","78.3","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","117","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","89.7","Gender","Male"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","92.8","Race/Ethnicity","White, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","117.2","Gender","Male"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","264","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","67.5","Race/Ethnicity","White, non-Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","83.1","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","72.6","Overall","Overall"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","582","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","111","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","4936","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","79.5","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","63.9","Race/Ethnicity","Asian or Pacific Islander"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","92.0","Race/Ethnicity","White, non-Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","156.0","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","213","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","68.2","Gender","Female"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","3339","Gender","Female"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","85.4","Overall","Overall"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","5737","Overall","Overall"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","54.1","Gender","Female"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","97.2","Race/Ethnicity","American Indian or Alaska Native"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","110.6","Gender","Male"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","68.8","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","81.5","Race/Ethnicity","White, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","91.8","Gender","Male"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","208","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","71.3","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","328","Race/Ethnicity","Asian or Pacific Islander"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","3353","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","128.3","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","27.7","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","24.8","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","137.9","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","225","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","3619","Gender","Male"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2723","Gender","Female"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","309","Race/Ethnicity","Black, non-Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","68.4","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","59.7","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","105.7","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","95.7","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","76.4","Gender","Female"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","70.7","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","5299","Overall","Overall"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","53.2","Gender","Female"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","51.8","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","4781","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","123.4","Race/Ethnicity","American Indian or Alaska Native"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","90.9","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","264","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","2711","Gender","Female"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","104","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","81.7","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","426","Race/Ethnicity","Asian or Pacific Islander"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","23.5","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","383","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","89.0","Gender","Male"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","129.2","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","260","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","89.2","Gender","Male"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","6014","Overall","Overall"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","71.2","Overall","Overall"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","86.3","Overall","Overall"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","82.1","Race/Ethnicity","Black, non-Hispanic"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","68.6","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","47.4","Race/Ethnicity","Asian or Pacific Islander"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","48.2","Race/Ethnicity","Asian or Pacific Islander"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","127.6","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","6201","Race/Ethnicity","White, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","24.8","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","77.4","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","112.1","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","135.7","Race/Ethnicity","American Indian or Alaska Native"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","6330","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","92.0","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","244","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","89.5","Gender","Male"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","67.8","Gender","Female"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","102.1","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","90.5","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","56.9","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","3164","Gender","Male"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","134.2","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","392","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","131","Race/Ethnicity","American Indian or Alaska Native"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","79.8","Overall","Overall"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","68.0","Race/Ethnicity","Hispanic"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","116.9","Race/Ethnicity","White, non-Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","62.5","Race/Ethnicity","Asian or Pacific Islander"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","96.7","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","6076","Overall","Overall"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","70.1","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","69.6","Race/Ethnicity","White, non-Hispanic"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","54.8","Gender","Female"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","345","Race/Ethnicity","Asian or Pacific Islander"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","3249","Gender","Male"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","149.8","Race/Ethnicity","American Indian or Alaska Native"
2016,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","126.8","Race/Ethnicity","American Indian or Alaska Native"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","94.6","Gender","Male"
2019,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","94.9","Gender","Male"
2018,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","53.1","Race/Ethnicity","Asian or Pacific Islander"
2020,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","7855","Overall","Overall"
2017,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Number","287","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Crude Rate","93.1","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Mortality due to diabetes reported as any listed cause of death","Age-adjusted Rate","56.8","Gender","Female"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","1.21","Gender","Female"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","4.74","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","101","Overall","Overall"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","","Race/Ethnicity","Black, non-Hispanic"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.20","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","4.53","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.6","Gender","Female"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","2438","Overall","Overall"
2020,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","5.42","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","5.22","Race/Ethnicity","American Indian or Alaska Native"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","190","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.7","Overall","Overall"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Asian or Pacific Islander"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","3462","Gender","Male"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","1.2","Gender","Female"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.1","Gender","Female"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","25","Race/Ethnicity","American Indian or Alaska Native"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.36","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","1.48","Gender","Female"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","955","Gender","Male"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Asian or Pacific Islander"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.9","Overall","Overall"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","143","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","4.37","Gender","Male"
2016,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.24","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.74","Overall","Overall"
2018,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","27.7","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","3.74","Race/Ethnicity","American Indian or Alaska Native"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","1.4","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Number","80","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","60","Gender","Male"
2015,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Age-adjusted Rate","2.02","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Age-adjusted Rate","6.9","Race/Ethnicity","Black, non-Hispanic"
2019,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Crude Rate","2.4","Race/Ethnicity","White, non-Hispanic"
2018,"WA","Washington","Diabetes","Amputation of a lower extremity attributable to diabetes","Crude Rate","4.21","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Number","86","Gender","Male"
